评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5175759232,肥肠好吃的肥肠,女,上海,5259,540,157,千金太美了！！加油💪！！//,0,2022-02-03 18:13 
https://weibo.cn//u/2880368622,Calino_佾言,女,其他,534,78,306,千金这气质真的绝绝子,1,2022-02-03 18:12 
https://weibo.cn//u/7556981005,与阿祖共眠,男,其他,23,216,4,回复@柒棵扣子:莎皇np！,0,2022-02-03 18:08 
https://weibo.cn//234106208,May薇_1307_养乐多,女,广东,93687,450,1万,加油加油。,1,2022-02-03 18:03 
https://weibo.cn//u/7411945177,森子的迪,女,其他,918,200,42,特鲁索娃给我冲，3A54双clean！！！,1,2022-02-03 17:58 
https://weibo.cn//u/7060443524,got7forever2000,女,黑龙江,1171,3740,388,不留遗憾，都要加油啊,0,2022-02-03 17:57 
https://weibo.cn//bluebear1208,Oso_azul,男,上海,15503,547,649,//,0,2022-02-03 17:56 
https://weibo.cn//u/5101182258,小星琳_,女,陕西,22246,314,901,棒,0,2022-02-03 17:56 
https://weibo.cn//rachelchiang127,啾迪小可爱,女,湖南,87,50,225,等不及看比赛了,0,2022-02-03 17:55 
https://weibo.cn//u/3798750773,love洛雯,女,陕西,1020,164,365,k宝加油！！妈妈希望你本届冬奥会能不留遗憾！！！,6,2022-02-03 17:53 
https://weibo.cn//u/5628227939,sssggg1014,女,北京,19,84,81,谢尔巴科娃真的美丽优雅,4,2022-02-03 17:53 
https://weibo.cn//u/1728485653,CiCi的一些事一些情,女,广东,3667,1421,879,花样滑冰，花样游泳，艺术体操都出美女,0,2022-02-03 17:51 
https://weibo.cn//u/6020256737,致最美好的我们ed,女,广东,326,110,99,漂亮,0,2022-02-03 17:51 
https://weibo.cn//u/7527667917,腾讯视频体育,男,北京,19286,504,13.4万,//,0,2022-02-03 17:49 
https://weibo.cn//u/1339726550,wildcat远航在路上要peRFect,女,其他,8000,396,913,     举报             赞[0]         回复             今天 17:49 来自网页,0,2022-02-03 17:49 
https://weibo.cn//u/6469679377,清荷垂柳2021,女,吉林,4796,143,105,莎莎千金K宝都要加油,0,2022-02-03 17:47 
https://weibo.cn//u/1646414800,有悠,女,其他,27283,7799,1454,有三人呀//,0,2022-02-03 17:47 
https://weibo.cn//u/5165338749,初心梦想54660,男,其他,90,220,6,套娃三人组，加油,0,2022-02-03 17:47 
https://weibo.cn//u/5015522970,望舒羲和c,男,安徽,1648,1610,707,千金k宝莎莎！,1,2022-02-03 17:44 
https://weibo.cn//u/2778727145,大厂s,男,其他,7850,427,447,加油！！！,0,2022-02-03 17:41 
https://weibo.cn//u/7441893941,还是行走的白云朵朵,男,其他,622,203,24,真漂亮啊,0,2022-02-03 17:39 
https://weibo.cn//u/2720526361,大秦宰相,男,陕西,25592,972,21.5万,//,0,2022-02-03 17:39 
https://weibo.cn//u/7735713172,玲娜贝儿爱香飘飘奶茶,女,湖北,39,51,33,这三个人好强,0,2022-02-03 17:39 
https://weibo.cn//u/6070794616,圆滚滚的rafa,女,海南,75,92,3,花滑,0,2022-02-03 17:39 
https://weibo.cn//u/6303689302,莓冻冻Berry,女,重庆,239,89,11,千金莎莎加油！K宝展现自己享受比赛就好！,0,2022-02-03 17:38 
https://weibo.cn//yamamiayy,阎小兑,女,北京,5412,130,89, 关注一波,0,2022-02-03 17:38 
https://weibo.cn//u/6542750107,HTTS-C,女,广东,665,224,63,莎千K冲冲冲，预祝三位都能站上领奖台！,0,2022-02-03 17:36 
https://weibo.cn//u/6280828966,王姓人的真善美,女,其他,828,42,95,棒棒哒,0,2022-02-03 17:35 
https://weibo.cn//bm211,萏萏的幸福生活,女,广东,3571,401,637,她们长得漂亮，造型还特别好看，所以整体都好美！,0,2022-02-03 17:32 
https://weibo.cn//209050888,栗香派派,女,北京,4048,149,13.5万,特鲁索娃,13,2022-02-03 17:32 
https://weibo.cn//u/7611911505,酸辣水果捞,女,河北,471,219,40,k宝,4,2022-02-03 17:31 
https://weibo.cn//u/7736026935,念极201401,女,四川,2,14,1,千金加油！,2,2022-02-03 17:31 
